Frame,ROI_0,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15,ROI_16
2608,"(25.64478771245958, 140.91693867874227)","(9.450973858667542, 148.36649985861828)","(84.64579458360896, 131.16905110550186)","(144.69360071927298, 84.92743538056517)","(187.54369926369822, 109.93676268780203)","(211.83706641209625, 103.49126643126881)","(227.17264892610822, 104.22126441492416)","(204.08947111804972, 60.86277279284296)","(208.41975205265442, 69.64572002594359)","(298.4796354723076, 74.03160073418721)","(349.3576501613983, 74.39666658108723)","(358.0219641070646, 60.16794795170326)","(350.777842674345, 46.900510017216384)","(354.703824580558, 39.312090141778576)","(377.380957532915, 46.66007152911596)","(418.50615151824553, 39.44350667403628)","(427.9973358773469, 41.51109443247945)"
2609,"(25.6424490286102, 140.92231057941703)","(9.606173402739227, 148.38570232910894)","(84.63807515199339, 131.1659952918265)","(144.73155441252442, 84.93703874562894)","(187.54634711008566, 109.94836090974876)","(211.83189036761559, 103.49977132930931)","(227.22909048552785, 104.16502804307318)","(204.17441930979106, 61.00351869498025)","(208.43534348170266, 69.65293608260401)","(298.46722021032764, 74.04184340105422)","(349.3438022974434, 74.42190138938807)","(358.0205806062478, 60.175672231984336)","(350.7671215571545, 46.90553684868171)","(354.6880268338044, 39.31265296687423)","(377.3784999845934, 46.671439323316946)","(418.5134821960045, 39.46345117711183)","(427.9828530898966, 41.51041124811011)"
2610,"(25.637675881451866, 140.93602724644336)","(9.599950042860117, 148.40140263068642)","(84.64879446955857, 131.1972403481638)","(144.74129559189015, 84.94805076499341)","(187.53504087206488, 109.95721949841989)","(211.83098122218922, 103.50935869957083)","(227.22175351795127, 104.23941084648278)","(203.99902821685097, 61.03938008219433)","(208.454386220883, 69.65816283521185)","(298.4731357411251, 74.03476875153187)","(349.3232780653166, 74.44256246725689)","(357.9828730488086, 60.17374778489551)","(350.7778078995061, 46.90497004148985)","(354.68153659779693, 39.32041129627482)","(377.36583430465805, 46.68167815016151)","(418.5147072590517, 39.44377664195404)","(427.9832444544565, 41.503676465791784)"
2611,"(25.62872044763818, 140.94760019389687)","(9.591413391077714, 148.41085564199068)","(84.6376965746738, 131.1955517984556)","(144.69273382191128, 84.97372306528545)","(187.52721443789235, 109.97202397657544)","(211.82256514722306, 103.52227668622771)","(227.22444400650463, 104.28764938996346)","(204.0459322346614, 61.001619789691986)","(208.43824735848094, 69.65664547465829)","(298.4638158719881, 74.05098915435585)","(349.3257534338668, 74.43109966472163)","(358.0196956941153, 60.20421141961904)","(350.7728915808692, 46.91317353390701)","(354.6613668252284, 39.32009104233648)","(377.35843722186087, 46.685992809671816)","(418.50476187288956, 39.437462810208835)","(427.9838487873806, 41.509296443286836)"
2612,"(25.62692186313541, 140.96093563367384)","(9.583835784526118, 148.42977533432204)","(84.63260362350842, 131.21089455124516)","(144.69864285845577, 84.97703748159063)","(187.5206120437514, 109.98943943084248)","(211.8084718483335, 103.53414480971638)","(227.1973582231919, 104.29715404682794)","(204.02399115547794, 61.047348332717974)","(208.40012112978005, 69.6714348693746)","(298.4771022736383, 74.07722047314623)","(349.29697075423115, 74.48266472783119)","(358.0157080423904, 60.19479054520965)","(350.75840932243585, 46.92777895875841)","(354.67037213132903, 39.34597765679009)","(377.3410243914369, 46.70588677749694)","(418.49609642225954, 39.45810804474924)","(427.9904215038432, 41.51381253811089)"
2613,"(25.61570393025409, 140.9797990717803)","(9.58075706019758, 148.4382515297121)","(84.63075764153729, 131.23237240820154)","(144.7218467317453, 84.98825219606839)","(187.5087652155026, 109.99882416302106)","(211.8010694854318, 103.53506864009746)","(227.22232323128884, 104.28587212387306)","(204.01939173730864, 61.064114285427266)","(208.39440683002735, 69.70866562431608)","(298.4458810836877, 74.09450710080078)","(349.3041243648218, 74.46630477336566)","(358.01970192579967, 60.19486196816183)","(350.75855974102484, 46.928024770522896)","(354.6524409768227, 39.33549594621437)","(377.3429483538379, 46.69317042153062)","(418.50141661697626, 39.45413030147885)","(427.97652369344615, 41.54084876122665)"
2614,"(25.60984123892323, 140.98555853461983)","(9.578114368989315, 148.45184556754637)","(84.6236147921718, 131.23603152292497)","(144.72502874301696, 84.99253158874559)","(187.51120258133088, 110.00917728482308)","(211.80807164412352, 103.55354295544367)","(227.21742709943962, 104.298779576403)","(204.0024043984929, 60.98856221771057)","(208.4278965019026, 69.71130362845535)","(298.43117893084076, 74.08351637909277)","(349.27410839424044, 74.48078385676061)","(358.0033169061807, 60.20522939979749)","(350.7531404575421, 46.93668940159963)","(354.65410627389286, 39.32662936410188)","(377.34426756762286, 46.71482801592115)","(418.48840406826025, 39.45042342244384)","(427.985498147052, 41.5321904395632)"
2615,"(25.60519392447246, 140.99278433303175)","(9.568307151259347, 148.46346067164)","(84.61445267223215, 131.23056633453007)","(144.7063177655566, 85.01025168693174)","(187.50669242265045, 110.01838826023345)","(211.79778152544526, 103.56376088574255)","(227.20444232428395, 104.27998319438379)","(203.97114806814238, 61.092823358802924)","(208.40708216473837, 69.72321923916057)","(298.43640261498126, 74.10913384916098)","(349.3350324321256, 74.48583666706595)","(358.0040058615176, 60.208259291097505)","(350.71118956502755, 46.95207967332655)","(354.6385097937563, 39.33302027788699)","(377.31904152843555, 46.693821454098526)","(418.4628932927825, 39.45708459990799)","(427.98892037369933, 41.546900250360146)"
2616,"(25.645210774597622, 140.87689636586322)","(9.61813343730012, 148.34107733750236)","(84.67689237348633, 131.1435156824874)","(144.79933853256887, 84.897154279824)","(187.55934069838656, 109.90878280149667)","(211.85170194664738, 103.46900078272436)","(227.24037059373023, 104.183720073696)","(204.1338843101994, 60.894478272709314)","(208.42776247721008, 69.59703466540302)","(298.51504993450146, 74.00473873350637)","(349.3441249923236, 74.39785552721679)","(358.03017551054114, 60.15227183215713)","(350.81023337370874, 46.85656040529567)","(354.7079151090271, 39.268132689899744)","(377.37743639814386, 46.658378279181896)","(418.48789913223294, 39.44776652212021)","(428.00791917245317, 41.50608129822048)"
2617,"(25.65841604312087, 140.87247640463497)","(9.620732659737016, 148.34024441786698)","(84.68219463639001, 131.1173179595907)","(144.72603942871504, 84.84925339038222)","(187.55638878055217, 109.89316698526298)","(211.85584521075194, 103.4603062032622)","(227.24273694753077, 104.18795513078528)","(204.0459240485444, 60.85994566184741)","(208.45143101562937, 69.59282516587365)","(298.4959228637763, 73.9981588881874)","(349.2990510599898, 74.38930414195951)","(358.0471450835725, 60.14011351990358)","(350.8140199081388, 46.8524444255881)","(354.7138218870971, 39.273581379827654)","(377.3849453116861, 46.625812630217446)","(418.4758207539211, 39.44258656605657)","(428.00966100565137, 41.472685402255486)"
2618,"(25.656553571817508, 140.88529294376)","(9.617003423244755, 148.36284416047235)","(84.67279707323794, 131.14662055647415)","(144.76351353076578, 84.90730794230123)","(187.56346590462863, 109.91139732185634)","(211.8507952480144, 103.4783244273058)","(227.22204071008696, 104.21153649895743)","(204.17323566552133, 60.94211748529886)","(208.4694233371084, 69.60729543099286)","(298.50814295160365, 73.9991283980133)","(349.3600779019936, 74.38319799340991)","(358.0470078104359, 60.15481087411521)","(350.80442622112093, 46.864259842233665)","(354.7051535517622, 39.273442365041355)","(377.3891318330283, 46.65740476850575)","(418.46207442697664, 39.448020567628646)","(427.99950714319937, 41.4743651977933)"
2619,"(25.642373329052454, 140.9002517782706)","(9.614841550566869, 148.3630078742711)","(84.66882375965945, 131.14620300589254)","(144.743167623779, 84.9180356729665)","(187.55684860945362, 109.92183514387101)","(211.8494962309846, 103.47673144353392)","(227.23970624565138, 104.22205788806555)","(204.06381262006073, 60.94914902367734)","(208.33254689680837, 69.53466347913168)","(298.48556730110687, 74.01588687812355)","(349.29093182703195, 74.42003627171175)","(358.0336088669255, 60.17016275223021)","(350.79938565294304, 46.86634562431147)","(354.69267665744286, 39.274922948633936)","(377.3757346328224, 46.64614185546093)","(418.4611726312577, 39.44176707367799)","(428.00550093569024, 41.473196872945444)"
2620,"(25.652746338553314, 140.89961645616395)","(9.610129769115368, 148.3696173610666)","(84.67523619521512, 131.15606278146174)","(144.75199686442394, 84.9015897940844)","(187.5513487581042, 109.92805767326705)","(211.84511256445302, 103.48343210661632)","(227.2417388718381, 104.23478334148095)","(204.0513609513654, 60.87778345655831)","(208.43063254938593, 69.61630332388847)","(298.4867764593661, 74.02785887555765)","(349.3186745145688, 74.3302517993768)","(358.02388210694716, 60.175978327900104)","(350.7994278650856, 46.87257613477702)","(354.6915316075522, 39.27848618501276)","(377.38340049264787, 46.64226241680685)","(418.43699053941276, 39.46023472622625)","(428.0043409113894, 41.48115957481581)"
2621,"(25.636387284437102, 140.9114668706017)","(9.610761483628634, 148.37412647254087)","(84.65409282534758, 131.14706399635372)","(144.72960725160223, 84.90973291871079)","(187.02014182493278, 110.1760336191647)","(211.8384670796928, 103.48664039918752)","(227.25538307783899, 104.23576944555796)","(204.11698683772937, 60.99661197998603)","(208.42881169939048, 69.62720311562664)","(298.4944211265503, 74.0269136385136)","(349.35527893508504, 74.42783621929811)","(358.0324380180538, 60.1764013065531)","(350.7884985282608, 46.87892240323494)","(354.69151864046313, 39.276116782287055)","(377.38182799847283, 46.666289728319)","(418.4140637870371, 39.45396419543066)","(427.9810944493891, 41.49803541771531)"
2622,"(25.636977615606476, 140.9233632202213)","(9.605149382300603, 148.39470324841994)","(84.65391648942646, 131.18179388154982)","(144.7432017501832, 84.93742452815603)","(187.54454129216094, 109.95024192639788)","(211.83133798605084, 103.49585348680434)","(227.20214484179454, 104.21658256081383)","(204.01696245018897, 61.02113359906549)","(208.43351171239527, 69.63955097074233)","(298.48215815643164, 74.04029990098164)","(349.30768467854233, 74.42780057632706)","(358.026588466364, 60.17226214783354)","(350.78252434071663, 46.885378085915406)","(354.6817083530592, 39.296330145230115)","(377.35056529386907, 46.68353709246599)","(418.4285156121023, 39.44942193486344)","(427.9723958057151, 41.50539984581396)"
2623,"(25.635300588606146, 140.93612319540634)","(9.600263154995703, 148.398552642386)","(84.65260693204327, 131.1942145396431)","(144.7019693814586, 84.96918388476408)","(187.53333920536963, 109.96150740199356)","(211.82929140427134, 103.50900585406865)","(227.18716833360727, 104.23552235836914)","(204.10283326977202, 60.92197916341316)","(208.4024341690773, 69.64678505662097)","(298.4717211468469, 74.05737451795522)","(349.3165929591709, 74.45341265124966)","(358.03063487346986, 60.18709727851429)","(350.7705982053342, 46.8951593791617)","(354.68098314332144, 39.2976849044448)","(377.35368908922516, 46.6619543144277)","(418.3636974846956, 39.499659819032836)","(427.9715619867555, 41.50628514732825)"
2624,"(25.61855442065659, 140.95314793935734)","(9.587720035318965, 148.40944748662)","(84.63326831817712, 131.20058127548614)","(144.71651037765096, 84.96784376669356)","(187.51117682004627, 109.98304123834292)","(211.82337562214093, 103.5267468992937)","(227.16166107014138, 104.21465663871363)","(204.09670610345796, 61.0361106344213)","(208.37224524540127, 69.67246770020397)","(298.45543357733084, 74.04811350322683)","(349.30956776079387, 74.44676132114392)","(358.0093337413192, 60.171696080682835)","(350.76300726219665, 46.90318653949954)","(354.6709540189971, 39.29257078395016)","(377.35930473132606, 46.67891141466425)","(418.38093541603484, 39.46611028057392)","(427.9433768703013, 41.49269300771464)"
2625,"(25.628737836512425, 140.9632600013602)","(9.58522487974787, 148.4318753114106)","(84.63938601072495, 131.20470864084328)","(144.71742598005696, 84.97478934525445)","(187.52803936920455, 109.9922910020823)","(211.80398375069075, 103.53808562602784)","(227.2011449034298, 104.31431378437877)","(204.07487052533688, 61.08175540310788)","(208.5075683846217, 69.69048356024707)","(298.460419689986, 74.07274002364825)","(349.30581306469327, 74.43692355631333)","(358.0157039085509, 60.18746741710192)","(350.7590306199901, 46.91549818080381)","(354.65567232143644, 39.30499121405145)","(377.35736762435437, 46.69599456746163)","(418.3784053485649, 39.4658822554322)","(427.96115704726975, 41.50913949888053)"
2626,"(25.618151297491195, 140.97772439782645)","(9.584707740271316, 148.43876522898108)","(84.6360283737464, 131.21980696357954)","(144.72015578147264, 84.99744273823278)","(187.51835383363726, 109.99668567345772)","(211.8066300234513, 103.53584688774129)","(227.19372767315136, 104.28408320110435)","(203.913198043743, 61.056011158654115)","(208.4264368097022, 69.69558952745565)","(298.4494726726425, 74.0882585400159)","(349.308605236756, 74.47135001363034)","(358.0022156752726, 60.200383609999825)","(350.7475955433945, 46.92572060524074)","(354.6607829150263, 39.31052484590002)","(377.35451041022185, 46.686583760298014)","(418.3460103614501, 39.4710261298002)","(427.95519867577184, 41.49519149169502)"
2627,"(25.611293016099992, 140.9876009026805)","(9.5748107311934, 148.45219040032842)","(84.62064447076261, 131.21896635418793)","(144.65417542279738, 84.98401101884828)","(187.50612075856895, 110.0017498530249)","(211.80163761887042, 103.55033048549933)","(227.17420334250076, 104.27148279244734)","(203.95582235621876, 61.06608156862217)","(208.35463158834682, 69.71825365435959)","(298.43466142152033, 74.07754397991741)","(349.29511049116627, 74.4951812574672)","(357.9995876126478, 60.20461811561404)","(350.7430550397045, 46.92890546394344)","(354.64252317068565, 39.3076957140287)","(377.3372362573752, 46.68365789205885)","(418.3391880605899, 39.47540464370112)","(427.9292935569562, 41.51764298501806)"
2628,"(25.659288648115037, 140.87470463393515)","(9.608331816598746, 148.33360935676612)","(84.68200593130881, 131.11863219462003)","(144.73117958895023, 84.85069497390938)","(187.56255707491079, 109.88898519551158)","(211.8511129080632, 103.45242469418766)","(227.2345474243134, 104.20578434653665)","(204.06514371143524, 60.92624557849126)","(208.4661307213417, 69.58703026913582)","(298.49603923125153, 73.99074300160736)","(349.35019541131754, 74.39577426410078)","(358.0497745159885, 60.13470539386111)","(350.80601888136925, 46.847399839318584)","(354.7040945084745, 39.249360985465756)","(377.3848574954354, 46.63034047537671)","(418.3488368567988, 39.472930236088544)","(427.95716969144684, 41.47151555527089)"
2629,"(25.67584125394132, 140.85706376131586)","(9.627479457899112, 148.31841689277877)","(84.69967954927886, 131.11094301123612)","(144.78521956408326, 84.8435697570936)","(187.57300545410618, 109.88194462695138)","(211.86109517336442, 103.43811300118269)","(227.23109178355372, 104.17643570368845)","(204.02526881016092, 61.00214849538185)","(208.4658911426107, 69.58232950793114)","(298.5168237650351, 73.97644875846237)","(349.3620440662855, 74.35928933125044)","(358.0643855158913, 60.12776012433313)","(350.8139592582857, 46.830936792925414)","(354.72212352948515, 39.244405624361455)","(377.3878976132542, 46.63643547635802)","(418.3268030749232, 39.46632441781047)","(427.95481520343685, 41.46714611049599)"
2630,"(25.66421359749905, 140.8720565632802)","(9.637508009029675, 148.33790095302953)","(84.68183290046096, 131.11775710590746)","(144.7485849418351, 84.878043009492)","(187.57201430783198, 109.8913499579664)","(211.86104044240528, 103.44679274594317)","(227.22708042022245, 104.20530960671967)","(204.0861982196219, 60.89374657961818)","(208.46513637032868, 69.59251672309793)","(298.4913602386534, 73.99520454942511)","(349.34400160595004, 74.39774659016416)","(358.0617607755596, 60.13300065229943)","(350.8080378703363, 46.8491505695097)","(354.7087859954314, 39.24177365719214)","(377.38969777748343, 46.64325724462343)","(418.35080967324944, 39.47888122252556)","(427.93048514866973, 41.463906354541)"
2631,"(25.656620354863968, 140.88482156906082)","(9.62151790195253, 148.33692312665627)","(84.67011434984553, 131.1387371830505)","(144.74146692924515, 84.88076368155308)","(187.56494828921333, 109.91117962181792)","(211.850240736471, 103.4707547836815)","(227.25347486566164, 104.20595088373058)","(204.13761449585863, 60.952744609823114)","(208.49575221486955, 69.59656341312527)","(298.47907424922613, 74.00274138699649)","(349.34897722711, 74.406818465994)","(358.03536850302834, 60.15569457242432)","(350.78551831629346, 46.85114860936795)","(354.70088505638984, 39.240434000364125)","(377.3908102423986, 46.63044970187654)","(418.3404618649946, 39.4778778345801)","(427.92923210206425, 41.47869324337636)"
2632,"(25.648507541149343, 140.89375667250866)","(9.619147373875805, 148.3660955015534)","(84.66476980136497, 131.1301053840279)","(144.72227512792287, 84.90696114759118)","(187.55140065194365, 109.91628584236202)","(211.84322238843362, 103.47838155512767)","(227.24833499455173, 104.20657861073525)","(204.0039055675846, 60.86797538651162)","(208.4275984964632, 69.60597901738701)","(298.49179543078986, 74.02892199137948)","(349.3031050621148, 74.38968050713926)","(358.0387420181152, 60.15191875895745)","(350.7877136795017, 46.864304905997166)","(354.69508411625685, 39.245560592155066)","(377.37789071518444, 46.640324581554715)","(418.34659417698185, 39.488370358009234)","(427.91558289715687, 41.46833354031849)"
2633,"(25.64478738790329, 140.91731869724336)","(9.602637328819542, 148.36812994574552)","(84.67052373906054, 131.15483737871773)","(144.74951351444335, 84.92489011089091)","(187.54663088983256, 109.92733468759866)","(211.84431098581007, 103.48107919542336)","(227.20061427586842, 104.25836258292925)","(204.02241611087598, 60.92906104832714)","(208.49566355342532, 69.6166841540368)","(298.48581097033593, 74.01760798642584)","(349.3547994324607, 74.43174568234323)","(358.0411443353071, 60.16389745672573)","(350.7784788047938, 46.872405379050534)","(354.6865608865671, 39.26974307961659)","(377.37979933540436, 46.63279759862582)","(418.35017407654396, 39.482046830280886)","(427.8989967990544, 41.47002976888322)"
2634,"(25.639902387297653, 140.91745427774524)","(9.606938946354246, 148.3819192149946)","(84.64939941191983, 131.1713886813196)","(144.71362324106676, 84.93396710911897)","(187.53749763000405, 109.9438903923375)","(211.83541808855543, 103.49621035931402)","(227.2466737387536, 104.21652325593057)","(204.07775954500767, 61.03366070306277)","(208.44919912808948, 69.64179148590452)","(298.4852960447604, 74.03172570455364)","(349.32118725865706, 74.41973510699597)","(358.02384325615003, 60.16010711228687)","(350.7737014669877, 46.88379978556704)","(354.6868609502433, 39.276543309579196)","(377.3821047138485, 46.650795947727005)","(418.3310163154598, 39.503143431028114)","(427.8950855813792, 41.47303258600331)"
2635,"(25.64548344990903, 140.92571222981408)","(9.606146724895847, 148.38549851661256)","(84.6503723623198, 131.16782886287467)","(144.6999472669167, 84.93102433427697)","(187.53622824900967, 109.9528118807963)","(211.83117484918458, 103.49817542443775)","(227.2114104187246, 104.22883113539868)","(204.0075635353449, 60.986373652228416)","(208.40601000152603, 69.63662758837513)","(298.4752287334045, 74.0323586743406)","(349.3223962765068, 74.44599165985248)","(358.031878524125, 60.1593283015228)","(350.76510381564793, 46.88565915466867)","(354.66758979248374, 39.279970381214206)","(377.37522740854683, 46.636513029691656)","(418.3435120498219, 39.503362065005284)","(427.86895276037086, 41.4691980429978)"
2636,"(25.625853479234223, 140.94731992957148)","(9.597905897732634, 148.4086946145546)","(84.62282885501664, 131.18665515409782)","(144.72252311165974, 84.97540530007907)","(187.53042091316098, 109.9613742847381)","(211.81992296476392, 103.50728406754286)","(227.18766404234304, 104.21066870964775)","(204.0237973083134, 61.01274030837537)","(208.43172737656573, 69.65481649472811)","(298.45564662585934, 74.05508863251671)","(349.3516019576027, 74.42515356794081)","(358.00878339510166, 60.171686216053544)","(350.75534788502074, 46.89742479814591)","(354.667371745914, 39.250937136365266)","(377.35132342264615, 46.64317471384408)","(418.3257778163441, 39.44009303286403)","(427.86436574237257, 41.50443613781697)"
2637,"(25.617222429447892, 140.95766605571725)","(9.587129724062954, 148.421084430442)","(84.63450564934752, 131.20914902508656)","(144.69097038004855, 84.98145563280626)","(187.51658717654638, 109.97037385283103)","(211.81033971543255, 103.51996358535828)","(227.18475475033367, 104.2358654633664)","(203.96368768607442, 60.97986586222304)","(208.42105828617505, 69.66671125777899)","(298.4604935910674, 74.06632290553229)","(349.27886499249314, 74.47165331294674)","(358.02538191107254, 60.18720368949439)","(350.7423128727948, 46.910993127991595)","(354.6523797523545, 39.28680883076943)","(377.3723852463681, 46.64921762728935)","(418.32496561630853, 39.50910247984382)","(427.85901364545504, 41.518320658468795)"
2638,"(25.6249187648098, 140.97326869842456)","(9.579962822051673, 148.43861475302688)","(84.63103968167216, 131.22231420037653)","(144.69632757488606, 84.97893000562175)","(187.51757695261767, 109.99721096837506)","(211.80185179032503, 103.53485699014112)","(227.21549869040274, 104.26874794516091)","(203.98374239746374, 61.06227887220974)","(208.40152019041338, 69.68878825332798)","(298.4493567195038, 74.07327084879228)","(349.36299889044744, 74.45141635120598)","(358.0158922627673, 60.20620057092174)","(350.73952098874156, 46.919893983719575)","(354.648537607828, 39.29639964643124)","(377.3721364361065, 46.647816739850875)","(418.34258477993427, 39.52818698651978)","(427.86451925871125, 41.51464546634719)"
2639,"(25.601742680911588, 140.98430481718472)","(9.571813850849546, 148.4575241505026)","(84.63006319332997, 131.2255808833399)","(144.7242723107159, 84.98147209118993)","(187.51355012552148, 110.00759203161124)","(211.80033077978197, 103.54988240756472)","(227.25842528550268, 104.29084506845444)","(204.0622690544572, 61.1231477928692)","(208.41287866799794, 69.69984300802071)","(298.44100244611633, 74.08094162669812)","(349.31025709471515, 74.49867776744637)","(358.01342717330454, 60.2055662081343)","(350.7270927946346, 46.92993239457238)","(354.6466048555466, 39.30508783085761)","(377.37223497412384, 46.65305324028372)","(418.350055908246, 39.533487482355206)","(427.8241262110987, 41.50609052636446)"
2640,"(25.63593402559286, 140.9155003674965)","(9.603165125906845, 148.38355441492382)","(84.63617279213395, 131.16673334015158)","(144.71123036685773, 84.92108150161324)","(187.54122425196087, 109.93724958557634)","(211.82767512815596, 103.50056242056493)","(227.20278443467225, 104.22602652902377)","(204.0932843675277, 60.93897196288259)","(208.43834148525826, 69.63229651682312)","(298.4755419742433, 74.02629009571193)","(349.3194952228782, 74.43606317932976)","(358.0497656959384, 60.15152015747144)","(350.76820949997574, 46.879968527931865)","(354.66647067371497, 39.259578208985246)","(377.39125731639695, 46.62270707461004)","(418.36164446317395, 39.53417388272788)","(427.84925409425784, 41.48039056636094)"
2641,"(25.651891095503, 140.8879133054851)","(9.630730753710743, 148.3439924922175)","(84.66514994285205, 131.13217858937975)","(144.77503807201924, 84.89456882747962)","(187.56392718524538, 109.90299472262329)","(211.85594443564833, 103.47015762619213)","(227.19432932523287, 104.19509692036655)","(204.0943537220978, 60.9385810462099)","(208.47105497270562, 69.58720568918558)","(298.5050428243158, 73.99464701305504)","(349.3642989551332, 74.40084223352484)","(358.0617920352028, 60.155433831327414)","(350.79263853314836, 46.85051407004518)","(354.6971593385083, 39.23504763337896)","(377.3969954156787, 46.616251985062945)","(418.37490285892585, 39.53134743344897)","(427.8472400117953, 41.47489737658948)"
2642,"(25.650303157974076, 140.89478476953025)","(9.618659792192249, 148.3549559069691)","(84.66907212611427, 131.1397917901071)","(144.74945468694958, 84.92704909013352)","(187.5583668477163, 109.91625763518509)","(211.84842578154087, 103.46809958572868)","(226.81414546100447, 104.20773473649574)","(204.00875301271915, 60.90820514850296)","(208.49369605155846, 69.60439404818266)","(298.4925327120424, 74.00855939626932)","(349.32152914656797, 74.42211460190424)","(358.0448135947929, 60.16014651561753)","(350.7738502096255, 46.86429628285365)","(354.68639465659544, 39.23934823772019)","(377.38924007553913, 46.59516451539119)","(418.35332519609864, 39.52420515818213)","(427.8473313366375, 41.47888038283138)"
2643,"(25.644582503481505, 140.90117080844934)","(9.610242405319388, 148.3664261861764)","(84.66869899327159, 131.16901051258787)","(144.7169267759825, 84.90050690054821)","(187.55027841973566, 109.92120688215688)","(211.83128372113688, 103.48746401269192)","(227.27023356743274, 104.23201125167958)","(204.09808182551643, 61.02089595080169)","(208.46292427771988, 69.63299658502724)","(298.4927630072902, 74.02101211976684)","(349.2908385163371, 74.42163950240777)","(358.05066067542776, 60.162105374064694)","(350.7674279107458, 46.87215814910056)","(354.68209472319194, 39.25417950766499)","(377.39795280754646, 46.59427672262344)","(418.34881893690596, 39.53563907358861)","(427.7838313643948, 41.44394500317447)"
2644,"(25.632701809174108, 140.9076361817214)","(9.608182109353947, 148.38606650392288)","(84.64884395553202, 131.1620061349604)","(144.72306152526104, 84.93904442832547)","(187.5416505356476, 109.94858095697927)","(211.83164096433083, 103.49869124191488)","(227.24143300315362, 104.23130891388853)","(204.03087498060793, 61.017920656372134)","(208.44050824716516, 69.6379121820249)","(298.46774774874905, 74.05861738572061)","(349.33622760595114, 74.4016286553601)","(358.048456748, 60.16907887492113)","(350.7541083733251, 46.88246893766514)","(354.67366136027726, 39.26539832641598)","(377.3965907410813, 46.60579573615501)","(418.3714742767193, 39.54357949386323)","(427.80501047020965, 41.49561083148495)"
2645,"(25.62463825185774, 140.9350476578201)","(9.602186582700403, 148.39625737762475)","(84.66589099608852, 131.19180069245883)","(144.73919638049355, 84.94728706330991)","(187.51607996478052, 109.9598978872215)","(211.8330606208888, 103.51298761248293)","(227.25576809823528, 104.2361761993341)","(204.0508404330697, 61.155559722084554)","(208.45729100505017, 69.66186736359182)","(298.473244903115, 74.03835195442271)","(349.3206165375331, 74.42577332727636)","(358.03126518913143, 60.172541139347366)","(350.7511214984911, 46.896110384919865)","(354.682636088793, 39.2732292787577)","(377.3929132292727, 46.602492487945256)","(418.38006366491874, 39.55058387001886)","(427.796282587922, 41.49733866686847)"
2646,"(25.627838428010723, 140.94220375300554)","(9.587767552822978, 148.41077882648057)","(84.64205753304645, 131.19249782482936)","(144.71345352655942, 84.95116273067555)","(187.52693621837176, 109.96927379524872)","(211.8167603059989, 103.51551736017072)","(227.22295890186894, 104.24192204271978)","(204.07402552532906, 60.97628775109244)","(208.3664124923837, 69.63360266303347)","(298.4588635334314, 74.06422259451081)","(349.30029327004667, 74.40845085803443)","(357.9734361233937, 60.174245789997116)","(350.73663698574444, 46.905406737103974)","(354.63747008609647, 39.27877501011501)","(377.387475170237, 46.6131906936682)","(418.3548121171121, 39.565666413574725)","(427.78728113429474, 41.48286208381433)"
2647,"(25.62403621303357, 140.9681738777902)","(9.581146053744117, 148.43204248047533)","(84.62898084070639, 131.20448545974696)","(144.66042623202532, 84.98588699276351)","(187.51167588802716, 110.00264904551379)","(211.8115600931505, 103.54336489576413)","(227.2328539734498, 104.27271080808819)","(204.10222727943034, 61.11197836322631)","(208.4081178369599, 69.68111173562032)","(298.4508094558545, 74.07564418510461)","(349.27116588690166, 74.46514242234944)","(358.03208291223433, 60.19139428381973)","(350.73207700992185, 46.91871136198354)","(354.6764637196363, 39.274619557574326)","(377.38877205257387, 46.621160200544836)","(418.34368530654365, 39.57354253855113)","(427.77574619787475, 41.499899160007764)"
2648,"(25.61801220675218, 140.97674099992423)","(9.572416585168993, 148.42711257888834)","(84.63567033333607, 131.21000371692793)","(144.69768753279916, 84.98020447970919)","(187.51339170474574, 109.99681460214588)","(211.80853554307384, 103.54603513366341)","(227.2610477330784, 104.26247885313298)","(203.99871008527748, 61.02203945768854)","(208.41954779713336, 69.69110824695933)","(298.4361970106236, 74.07428502034406)","(349.2688213390526, 74.47086258388455)","(358.01809997820357, 60.196868913635704)","(350.7224933713127, 46.92657556383502)","(354.64979914825983, 39.29914048476329)","(377.2619414980506, 46.75309484170034)","(418.3550631606755, 39.58307791264889)","(427.7448322179314, 41.528032251153334)"
2649,"(25.601850754702717, 140.98786793514776)","(9.57289183718781, 148.4542821254652)","(84.62805381112257, 131.2457273488816)","(144.7208631151292, 85.0104282040396)","(187.51090275331498, 110.00958983479438)","(211.7974975686615, 103.55749517978339)","(227.2201948753792, 104.26784444608536)","(204.02867582894368, 61.02085779532604)","(208.40310575542955, 69.69814731198323)","(298.4267945889251, 74.08142915146298)","(349.2855005272738, 74.4365608747247)","(358.00119085189436, 60.19499161957029)","(350.71209501004006, 46.93489295246987)","(354.63986776518834, 39.29916477150486)","(377.38977225423343, 46.6151251947571)","(418.357242460668, 39.57960109310795)","(427.75450151743786, 41.517758037040274)"
